Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,AP Amount,Description,Supplier Postcode,Supplier type,Contract Number,Project code,Expenditure type,VAT Registration Number,Purchase Invoice Number
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,WORDEN TW,33071138,5013.33,PARTIG,M1 3LY, , , , ,,MAN000028466
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,WORDEN TW,33071138,3862.5,NRENT,M1 3LY, , , , ,,MAN000028466
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,WORDEN TW,33071138,2852.19,QUASPG,M1 3LY, , , , ,,MAN000028466
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,ZAMAN Q,33071140,37835.02,GSUMG,M8 8UD, , , , ,,MAN000028468
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,ZAMAN Q,33071140,710.01,PARTIG,M8 8UD, , , , ,,MAN000028468
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ZAMAN Q,33071140,2623.35,QUASPG,M8 8UD, , , , ,,MAN000028468
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DAM HEAD MEDICAL CENTRE,33071142,24360.27,GSUMG,M9 7HD, , , , ,,MAN000028470
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DAM HEAD MEDICAL CENTRE,33071142,475.43,PARTIG,M9 7HD, , , , ,,MAN000028470
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Prem Other,PRC DELEGATED CO-COMMISSIONING,DAM HEAD MEDICAL CENTRE,33071142,54.17,PREMG,M9 7HD, , , , ,,MAN000028470
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DAM HEAD MEDICAL CENTRE,33071142,1503.6,QUASPG,M9 7HD, , , , ,,MAN000028470
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DIDSBURY MEDICAL CENTRE,33071144,97660.73,GSUMG,M20 6BA, , , , ,,MAN000028472
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DIDSBURY MEDICAL CENTRE,33071144,1899.06,PARTIG,M20 6BA, , , , ,,MAN000028472
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DIDSBURY MEDICAL CENTRE,33071144,3375,NRENT,M20 6BA, , , , ,,MAN000028472
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,DIDSBURY MEDICAL CENTRE,33071144,166.43,RAMW,M20 6BA, , , , ,,MAN000028472
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DIDSBURY MEDICAL CENTRE,33071144,6952.15,QUASPG,M20 6BA, , , , ,,MAN000028472
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR S AHMED & PARTNERS,33071148,66492.97,GSUMG,M40 2JF, , , , ,,MAN000028476
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR S AHMED & PARTNERS,33071148,1287.21,PARTIG,M40 2JF, , , , ,,MAN000028476
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR S AHMED & PARTNERS,33071148,4395.76,QUASPG,M40 2JF, , , , ,,MAN000028476
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,SINGH MEDICAL PRACTICE,33071149,-155.92,STATL,M9 4BE, , , , ,,MAN000028477
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Voluntary Levy,PRC DELEGATED CO-COMMISSIONING,SINGH MEDICAL PRACTICE,33071149,-12.86,VOLL,M9 4BE, , , , ,,MAN000028477
Department of Health,NHS Manchester CCG,31/07/2020,ME - GMS TPS Added Years Adj EEs,PRC DELEGATED CO-COMMISSIONING,SINGH MEDICAL PRACTICE,33071149,-2407.09,URLS,M9 4BE, , , , ,,MAN000028477
Department of Health,NHS Manchester CCG,31/07/2020,ME-GMS GP Pension EEs,PRC DELEGATED CO-COMMISSIONING,SINGH MEDICAL PRACTICE,33071149,-17198.22,SUPCEE,M9 4BE, , , , ,,MAN000028477
Department of Health,NHS Manchester CCG,31/07/2020,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,SINGH MEDICAL PRACTICE,33071149,-15733.58,SUPCER,M9 4BE, , , , ,,MAN000028477
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,SINGH MEDICAL PRACTICE,33071150,34850.2,GSUMG,M9 4BE, , , , ,,MAN000028478
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,SINGH MEDICAL PRACTICE,33071150,683.21,PARTIG,M9 4BE, , , , ,,MAN000028478
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS PCO Other,PRC DELEGATED CO-COMMISSIONING,SINGH MEDICAL PRACTICE,33071150,2731,CQCRG,M9 4BE, , , , ,,MAN000028478
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,SINGH MEDICAL PRACTICE,33071150,2466.78,QUASPG,M9 4BE, , , , ,,MAN000028478
Department of Health,NHS Manchester CCG,31/07/2020,ME - GMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,SINGH MEDICAL PRACTICE,33071150,719,PRYERG,M9 4BE, , , , ,,MAN000028478
Department of Health,NHS Manchester CCG,31/07/2020,ME-GMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,SINGH MEDICAL PRACTICE,33071150,465,PRYEEG,M9 4BE, , , , ,,MAN000028478
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,CONRAN MEDICAL CENTRE,33071152,62967.11,GSUMG,M9 5BH, , , , ,,MAN000028480
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,CONRAN MEDICAL CENTRE,33071152,1252.7,PARTIG,M9 5BH, , , , ,,MAN000028480
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,CONRAN MEDICAL CENTRE,33071152,4754,NRENT,M9 5BH, , , , ,,MAN000028480
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,CONRAN MEDICAL CENTRE,33071152,5004.36,QUASPG,M9 5BH, , , , ,,MAN000028480
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DICKENSON ROAD MEDICAL CENTRE,33071156,61144.55,GSUMG,M13 0WQ, , , , ,,MAN000028484
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DICKENSON ROAD MEDICAL CENTRE,33071156,1175.89,PARTIG,M13 0WQ, , , , ,,MAN000028484
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DICKENSON ROAD MEDICAL CENTRE,33071156,5037.5,NRENT,M13 0WQ, , , , ,,MAN000028484
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,DICKENSON ROAD MEDICAL CENTRE,33071156,680.72,RAMW,M13 0WQ, , , , ,,MAN000028484
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DICKENSON ROAD MEDICAL CENTRE,33071156,4356.24,QUASPG,M13 0WQ, , , , ,,MAN000028484
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,CHORLTON FAMILY PRACTICE,33071157,-660.32,STATL,M21 9NJ, , , , ,,MAN000028485
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Voluntary Levy,PRC DELEGATED CO-COMMISSIONING,CHORLTON FAMILY PRACTICE,33071157,-54.48,VOLL,M21 9NJ, , , , ,,MAN000028485
Department of Health,NHS Manchester CCG,31/07/2020,ME - GMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,CHORLTON FAMILY PRACTICE,33071157,-109.65,PRYERG,M21 9NJ, , , , ,,MAN000028485
Department of Health,NHS Manchester CCG,31/07/2020,ME-GMS GP Pension EEs,PRC DELEGATED CO-COMMISSIONING,CHORLTON FAMILY PRACTICE,33071157,-28258.63,SUPCEE,M21 9NJ, , , , ,,MAN000028485
Department of Health,NHS Manchester CCG,31/07/2020,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,CHORLTON FAMILY PRACTICE,33071157,-23197.31,SUPCER,M21 9NJ, , , , ,,MAN000028485
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,CHORLTON FAMILY PRACTICE,33071158,6915.9,EXTHDG,M21 9NJ, , , , ,,MAN000028486
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,CHORLTON FAMILY PRACTICE,33071158,700,LEARNG,M21 9NJ, , , , ,,MAN000028486
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,CHORLTON FAMILY PRACTICE,33071158,118275,GSUMG,M21 9NJ, , , , ,,MAN000028486
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,CHORLTON FAMILY PRACTICE,33071158,3443.64,CLINDG,M21 9NJ, , , , ,,MAN000028486
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS PCN DES PCN support,LOCAL ENHANCED SERVICES,CHORLTON FAMILY PRACTICE,33071158,7154.38,PCNSUG,M21 9NJ, , , , ,,MAN000028486
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,CHORLTON FAMILY PRACTICE,33071158,2309.16,PARTIG,M21 9NJ, , , , ,,MAN000028486
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,CHORLTON FAMILY PRACTICE,33071158,10349.93,QUASPG,M21 9NJ, , , , ,,MAN000028486
Department of Health,NHS Manchester CCG,31/07/2020,ME - GMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,CHORLTON FAMILY PRACTICE,33071158,3512.9,PRYERG,M21 9NJ, , , , ,,MAN000028486
Department of Health,NHS Manchester CCG,31/07/2020,ME-GMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,CHORLTON FAMILY PRACTICE,33071158,5105.46,PRYEEG,M21 9NJ, , , , ,,MAN000028486
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,MANCHESTER MEDICAL,33071160,63370.64,GSUMG,M14 4GP, , , , ,,MAN000028488
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,MANCHESTER MEDICAL,33071160,1246.89,PARTIG,M14 4GP, , , , ,,MAN000028488
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS PCO Locum Adop/Pat/Mat,PRC DELEGATED CO-COMMISSIONING,MANCHESTER MEDICAL,33071160,8456.08,LOCADG,M14 4GP, , , , ,,MAN000028488
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,MANCHESTER MEDICAL,33071160,18565.54,HEALTH,M14 4GP, , , , ,,MAN000028488
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,MANCHESTER MEDICAL,33071160,4363.75,QUASPG,M14 4GP, , , , ,,MAN000028488
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,NEVILLE FAMILY MEDICAL CENTRE,33071162,41223.41,GSUMG,M9 8DX, , , , ,,MAN000028490
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,NEVILLE FAMILY MEDICAL CENTRE,33071162,804.59,PARTIG,M9 8DX, , , , ,,MAN000028490
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,NEVILLE FAMILY MEDICAL CENTRE,33071162,1895.83,RENT,M9 8DX, , , , ,,MAN000028490
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NEVILLE FAMILY MEDICAL CENTRE,33071162,3186.67,QUASPG,M9 8DX, , , , ,,MAN000028490
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,AVENUE MEDICAL CENTRE,33071165,94324.06,GSUMG,M9 6BA, , , , ,,MAN000028494
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,AVENUE MEDICAL CENTRE,33071165,1858.14,PARTIG,M9 6BA, , , , ,,MAN000028494
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,AVENUE MEDICAL CENTRE,33071165,2041.67,NRENT,M9 6BA, , , , ,,MAN000028494
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,AVENUE MEDICAL CENTRE,33071165,17133.74,RANDR,M9 6BA, , , , ,,MAN000028494
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,AVENUE MEDICAL CENTRE,33071165,10356.8,QUASPG,M9 6BA, , , , ,,MAN000028494
Department of Health,NHS Manchester CCG,31/07/2020,ME - GMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,AVENUE MEDICAL CENTRE,33071165,4221.68,PRYERG,M9 6BA, , , , ,,MAN000028494
Department of Health,NHS Manchester CCG,31/07/2020,ME-GMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,AVENUE MEDICAL CENTRE,33071165,5245.99,PRYEEG,M9 6BA, , , , ,,MAN000028494
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,EASTLANDS MEDICAL PRACTICE,33071167,47049.26,GSUMG,M11 4EJ, , , , ,,MAN000028496
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,EASTLANDS MEDICAL PRACTICE,33071167,939.5,PARTIG,M11 4EJ, , , , ,,MAN000028496
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,EASTLANDS MEDICAL PRACTICE,33071167,15501.98,HEALTH,M11 4EJ, , , , ,,MAN000028496
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,EASTLANDS MEDICAL PRACTICE,33071167,3743.96,QUASPG,M11 4EJ, , , , ,,MAN000028496
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DROYLSDEN RD PRACTICE GTD,33071169,70210.32,GSUMG,M34 3QS, , , , ,,MAN000028498
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DROYLSDEN RD PRACTICE GTD,33071169,854.14,PARTIG,M34 3QS, , , , ,,MAN000028498
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,DROYLSDEN RD PRACTICE GTD,33071169,1666.67,RENT,M34 3QS, , , , ,,MAN000028498
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,DROYLSDEN RD PRACTICE GTD,33071169,76.01,RAMW,M34 3QS, , , , ,,MAN000028498
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DROYLSDEN RD PRACTICE GTD,33071169,5344,QUASPG,M34 3QS, , , , ,,MAN000028498
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,SAEED N,33071171,54665.49,GSUMG,M11 1DA, , , , ,,MAN000028500
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,SAEED N,33071171,1091.72,PARTIG,M11 1DA, , , , ,,MAN000028500
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS PCO Other,PRC DELEGATED CO-COMMISSIONING,SAEED N,33071171,4080,CQCRG,M11 1DA, , , , ,,MAN000028500
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,SAEED N,33071171,4462.09,QUASPG,M11 1DA, , , , ,,MAN000028500
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,NORTHERN HEALTH GPPO LTD,33071173,5179.64,EXTHDG,M40 7LJ, , , , ,,MAN000028502
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS DES Violent Patients,PRC DELEGATED CO-COMMISSIONING,NORTHERN HEALTH GPPO LTD,33071173,1968.33,DEVIOG,M40 7LJ, , , , ,,MAN000028502
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,NORTHERN HEALTH GPPO LTD,33071173,26456.02,GSUMG,M40 7LJ, , , , ,,MAN000028502
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,NORTHERN HEALTH GPPO LTD,33071173,2579.11,CLINDG,M40 7LJ, , , , ,,MAN000028502
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS PCN DES PCN support,LOCAL ENHANCED SERVICES,NORTHERN HEALTH GPPO LTD,33071173,5358.25,PCNSUG,M40 7LJ, , , , ,,MAN000028502
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,NORTHERN HEALTH GPPO LTD,33071173,509.86,PARTIG,M40 7LJ, , , , ,,MAN000028502
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NORTHERN HEALTH GPPO LTD,33071173,1666.85,QUASPG,M40 7LJ, , , , ,,MAN000028502
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,NORTHERN HEALTH GPPO CHARLESTOWN,33071175,12675.18,EXTHDG,M9 7ED, , , , ,,MAN000028506
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,NORTHERN HEALTH GPPO CHARLESTOWN,33071175,36406.7,GSUMG,M9 7ED, , , , ,,MAN000028506
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,NORTHERN HEALTH GPPO CHARLESTOWN,33071175,6311.36,CLINDG,M9 7ED, , , , ,,MAN000028506
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS PCN DES PCN support,LOCAL ENHANCED SERVICES,NORTHERN HEALTH GPPO CHARLESTOWN,33071175,13112.26,PCNSUG,M9 7ED, , , , ,,MAN000028506
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,NORTHERN HEALTH GPPO CHARLESTOWN,33071175,699.46,PARTIG,M9 7ED, , , , ,,MAN000028506
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NORTHERN HEALTH GPPO CHARLESTOWN,33071175,2712.44,QUASPG,M9 7ED, , , , ,,MAN000028506
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,WOODHOUSE CJ,33071176,-790.92,STATL,M15 5TJ, , , , ,,MAN000028507
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Voluntary Levy,PRC DELEGATED CO-COMMISSIONING,WOODHOUSE CJ,33071176,-65.25,VOLL,M15 5TJ, , , , ,,MAN000028507
Department of Health,NHS Manchester CCG,31/07/2020,ME-GMS GP Pension EEs,PRC DELEGATED CO-COMMISSIONING,WOODHOUSE CJ,33071176,-70876.15,SUPCEE,M15 5TJ, , , , ,,MAN000028507
Department of Health,NHS Manchester CCG,31/07/2020,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,WOODHOUSE CJ,33071176,-68947.64,SUPCER,M15 5TJ, , , , ,,MAN000028507
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,WOODHOUSE CJ,33071177,420,LEARNG,M15 5TJ, , , , ,,MAN000028508
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,WOODHOUSE CJ,33071177,151282.78,GSUMG,M15 5TJ, , , , ,,MAN000028508
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,WOODHOUSE CJ,33071177,3025.08,PARTIG,M15 5TJ, , , , ,,MAN000028508
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,WOODHOUSE CJ,33071177,4969.17,NRENT,M15 5TJ, , , , ,,MAN000028508
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,WOODHOUSE CJ,33071177,7502.97,QUASPG,M15 5TJ, , , , ,,MAN000028508
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,LONGSIGHT MEDICAL PRACTICE,33072796,36489.17,GSUMG,M13 0RR, , , , ,,MAN000028422
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,LONGSIGHT MEDICAL PRACTICE,33072796,719.21,PARTIG,M13 0RR, , , , ,,MAN000028422
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,LONGSIGHT MEDICAL PRACTICE,33072796,2610.42,QUASPG,M13 0RR, , , , ,,MAN000028422
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,WILMSLOW ROAD MEDICAL CENTRE,33072798,38419.66,GSUMG,M14 5LQ, , , , ,,MAN000028444
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,WILMSLOW ROAD MEDICAL CENTRE,33072798,762.36,PARTIG,M14 5LQ, , , , ,,MAN000028444
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,WILMSLOW ROAD MEDICAL CENTRE,33072798,1650,NRENT,M14 5LQ, , , , ,,MAN000028444
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,WILMSLOW ROAD MEDICAL CENTRE,33072798,3210.52,QUASPG,M14 5LQ, , , , ,,MAN000028444
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,ROBERT DARBISHIRE PRACTICE,33072800,45162.64,GSUMG,M14 5NP, , , , ,,MAN000028504
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,ROBERT DARBISHIRE PRACTICE,33072800,891.17,PARTIG,M14 5NP, , , , ,,MAN000028504
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,ROBERT DARBISHIRE PRACTICE,33072800,55227.76,HEALTH,M14 5NP, , , , ,,MAN000028504
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ROBERT DARBISHIRE PRACTICE,33072800,2910.27,QUASPG,M14 5NP, , , , ,,MAN000028504
Department of Health,NHS Manchester CCG,31/07/2020,Cont Care- Adult 100% Fully Funded,CHC ADULT FULLY FUNDED,BEECHILL NURSING HOME,33074879,25445.94,JUL 20 CHC BLOCK PAYMENT,M8 8XB, , , , ,,COV19JUL20AU
Department of Health,NHS Manchester CCG,31/07/2020,Cont Care- Adult 100% Fully Funded,CHC ADULT FULLY FUNDED,SURECARE (UK) LTD,33074903,40457.59,JUL 20 CHC BLOCK PAYMENT,B43 7SE, , , , ,,COV19JUL20AY
Department of Health,NHS Manchester CCG,31/07/2020,Cont Care- Adult 100% Fully Funded,CHC ADULT FULLY FUNDED,DAVID LEWIS CENTRE,33074951,32537.9,JUL 20 CHC BLOCK PAYMENT,SK9 7UD, , , , ,GB 157567333,COV19JUL20BJ
Department of Health,NHS Manchester CCG,31/07/2020,Cont Care- Adult 100% Fully Funded,CHC ADULT FULLY FUNDED,DOVES NEST NURSING HOME,33074956,32259.4,JUL 20 CHC BLOCK PAYMENT,M40 1QQ, , , , ,,COV19JUL20BL
Department of Health,NHS Manchester CCG,31/07/2020,Cont Care- Adult 100% Fully Funded,CHC ADULT FULLY FUNDED,QUALIA CARE LTD,33074959,42420.88,JUL 20 CHC BLOCK PAYMENT,LS1 2SP, , , , ,,COV19JUL20BN
Department of Health,NHS Manchester CCG,31/07/2020,Cont Care- Adult 100% Fully Funded,CHC ADULT FULLY FUNDED,EHC MOSTON GRANGE LTD,33074963,25854.31,JUL 20 CHC BLOCK PAYMENT,M40 3AJ, , , , ,,COV19JUL20BR
Department of Health,NHS Manchester CCG,31/07/2020,Cont Care- Adult 100% Fully Funded,CHC ADULT FULLY FUNDED,ADVINIA HEALTH CARE LTD,33074968,76539.61,JUL 20 CHC BLOCK PAYMENT,M18 8DF, , , , ,,COV19JUL20BW
